Tiktoker name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
abbieherbert,12.2M,4.6M,619.2K,1.6K,772
yazidoe,958.9K,2M,297.4K,2.8K,8.4K
loewhaley,1.4M,2.5M,232K,1.2K,10.6K
georgieanthony,2.2M,1.8M,294.3K,3K,9.5K
.blue_devil,4.8M,486.4K,1.5K,1.3K,
ya_gazdanova,3.4M,3.7M,184K,932,8.8K
piperrockelle,9M,2.4M,275.4K,9.3K,517
incorrectlyroce,5M,3.1M,499.5K,1.9K,2.2K
wayeelkaboy10,852.4K,3.7M,169.6K,5.6K,4.3K
joaoferdnan,7.4M,2M,238.5K,4.2K,9.1K
simpleputin,6M,3.1M,157.9K,10.6K,2.2K
chapaevva,1.9M,3.8M,347.7K,2.9K,1.7K
lyna_com,4.4M,3.4M,451.3K,3K,1.1K
arigameplays,19.3M,2.6M,444.6K,4.5K,915
tommyinnit,11.5M,1.5M,432.1K,7.6K,1.9K
arigameplays,19.3M,2.6M,444.6K,4.5K,915
tommyinnit,11.5M,1.5M,432.1K,7.6K,1.9K
alexisomman,9.2M,1.6M,330K,5.1K,6.5K
samadhiza_,7.4M,3.7M,418.3K,2.1K,1.8K
joerauth_,4.9M,2.9M,463K,1.6K,2.9K
danielarodrice,9.9M,4.2M,735.7K,1.5K,391
official_kep1er,3.5M,1.8M,395K,5.5K,2.7K
sucss.s,9.7M,2.6M,468.1K,3K,1.9K
veydi_rush,8M,2.9M,456.8K,2.6K,1.8K
davidsiwonchoi,1.9M,1.3M,314.3K,8.6K,5.6K
livvy,5.1M,2.7M,316K,4.9K,1.8K
catherineealicia,1.3M,2.3M,306.4K,5.9K,2.2K
bonjee,1.8M,1.8M,382.9K,2.5K,5.9K
tuckercomedy,2M,1.6M,225.2K,2.9K,12.7K
jennifer_aplicano,1M,2.5M,248.5K,3.7K,5.4K
qonitcah,1.4M,3.1M,277.5K,4.4K,2K
carolcastromx,9.7M,3.4M,564.2K,2.4K,508
vorostwins,2.6M,2.7M,344.1K,3.8K,2.1K
tiagodionisio,5.5M,2.4M,227K,1.1K,8.9K
magic_daniell,9M,4.5M,503.4K,2K,427
3tl.team,1.6M,4.4M,380.9K,2.7K,493
nessaabarrett,17.9M,2.8M,338.2K,3.8K,2K
saeemm2002,4.1M,1.8M,396.9K,4K,3.6K
nate.dawg.com,230.2K,2.4M,434.5K,3.3K,1.9K
larissagloor,2.6M,2.9M,489.4K,2.4K,1.3K
xshueur,256.6K,2.4M,186K,0,11.7K
cleanpuppy,1.7M,3.6M,617.4K,1.7K,612
tootymcnooty,7.3M,1.5M,401.1K,2.2K,6.4K
miakhalifa,32.5M,3.7M,340.3K,3.5K,644
notraymodeli,1.9M,1.8M,404.3K,2.7K,4.3K
axelwebber,4.2M,2.4M,544.7K,3.4K,522
baebyshaa,324.6K,3M,650.3K,1.4K,1.2K
momonatamada,3.7M,2.7M,489.4K,3.3K,473
nikkietutorials,5.1M,4.3M,536.6K,1.2K,987
spicyycam_,18.2M,3.5M,428.1K,3K,295
sa_ro01,3.4M,3.3M,265.9K,4.6K,1.1K
byniaromero,10.4M,4M,531.1K,2K,291
_vqsngi.03_,87.7K,2.6M,367.5K,3.3K,1.8K
oblomoffrecipe,5.3M,3M,271.8K,1.2K,4.8K
yg_treasure_tiktok,3.5M,1.7M,355.3K,4.1K,4.2K
luq_music,165.7K,2M,237K,5.9K,4.3K
bradtheboxer,2M,2.5M,216.7K,3.6K,5.3K
ftedooda,23.5K,1.2M,219.4K,2.8K,16.4K
kurtisconner,1.8M,2.2M,465.8K,3.1K,1.5K
maskrayy1,4.5M,7M,280.9K,1.2K,1.2K
babybella777,4.4M,3M,504.5K,2.6K,614
trainee_a,2.7M,1.3M,384K,5.3K,4.2K
texasbushman,1.2M,2.4M,242.6K,1.5K,6.7K
ugolord,5.3M,2.8M,281K,5.6K,497
fedevigevani,12.6M,2.7M,370.4K,4K,721
nam_patcharaporn,656.5K,2.2M,374K,3K,2.6K
endomarf,517.2K,1.7M,516.5K,3.4K,2K
dasigantung,5.1M,3.5M,497.8K,1.5K,1.2K
llucastorresg,831.4K,1.5M,328.5K,4.5K,4.9K
bungalow_jonathan,251.2K,1.5M,116.6K,994,25.1K
.aidenbeaudry,483.3K,2M,344.8K,3.1K,3.5K
cbum,2M,2M,389.1K,2.6K,3.2K
rebeccazamolo,16.8M,2.3M,233.9K,7.9K,701
farrelhkeem,179.1K,1.8M,292.9K,2.1K,6.4K
cellat36,8.2M,2.4M,212.3K,6.4K,2.4K
clexxd,8.9M,2.4M,227.3K,8.1K,118
yodeege,905.9K,2.3M,366.9K,1.9K,3.5K
brentrivera,42.8M,2.6M,492.8K,3K,433
herranwalt,5.3M,2.2M,302.7K,3.8K,3K
europaleague,2.1M,2.8M,346.8K,2K,2.5K
danivallem,3.9M,1.6M,130.5K,1.1K,19.9K
nourmar5,14.3M,1.3M,145.9K,13K,10.1K
nada_m7amed,5.8M,3.4M,281.2K,2.3K,2.3K
ox_zung,41.1M,2.8M,399.4K,3.2K,727
thor.aya,1.5M,2.7M,468.3K,2.1K,1.3K
caocuongvu,3.4M,2.9M,346K,3.1K,1.3K
renpc_,1.7M,318K,2.4K,5.6K,
julesleblanc,18.6M,2.9M,657.5K,1.8K,516
alexhook2303,4.3M,1.3M,253.6K,10.8K,2.3K
laurahfritz,2.5M,2.2M,400.8K,1.5K,3.3K
corvii_ff,10.5M,2.5M,427.7K,3.8K,215
gabimfmoura,7.7M,2.6M,381.3K,1.9K,2.4K
bottleofdjinn,706.3K,2.8M,582.7K,1.6K,1.1K
mohmadtra,1.8M,4.4M,304.7K,2K,1.2K
respectme90,658.1K,2M,243.1K,3.7K,5K
soycintiacossio,4.1M,5.7M,480K,702,838
thegoodhype,1.7M,2.5M,443.5K,1.6K,2.2K
carolvillanes,4.1M,1.8M,312.3K,7K,458
just_jenoah_,1.4M,2.4M,488.5K,1.5K,2K
datdo0803,6.5M,4.6M,368.8K,1.7K,732
robgronkowski,2.4M,2.4M,332K,1.7K,3.5K
___nicoichi___,2.7M,288.9K,3.2K,2.1K,
pablitocastilloo,4.5M,1.8M,225.6K,1.4K,9K
iamjonathanpeter,12.7M,3.2M,379K,999,2.4K
meowlife7,876.4K,2.3M,311.5K,1.6K,4.1K
pimpiriya1,1.3M,2.9M,567.9K,1.2K,1.3K
ferchugimenez,4.3M,3.3M,456.5K,1.4K,1.3K
homm9k,39M,2.8M,385.8K,3K,752
mndiaye_97,14.2M,2.2M,411.9K,2.3K,2.2K
linatejeiro8,4M,4M,295.9K,992,2.4K
www.m4th.com,6.9K,1.3M,309.2K,6.5K,3.5K
dovecameron,9M,1.8M,380.5K,4.5K,1.3K
sjbleau,12.3M,3.6M,420.3K,1.7K,914
ginescorreguela,776.4K,2.8M,140.5K,2.6K,7.7K
mrzeooficial,16.1M,2M,251.1K,2K,5.9K
stellajero16,1.2M,1.1M,265.7K,10.9K,2.5K
teokun711abc,2.8M,317.6K,1.8K,2.6K,
ajo.ozil,900K,6.4M,250.8K,825,1.6K
mr_paul.boy,7.2M,2.2M,426K,3K,1.1K
rblx.dreyzon,1.3M,1.9M,234K,7.4K,1.2K
mattiastanga,2.3M,1.6M,242.4K,1.3K,8.6K
hannahbahng,1.9M,1.5M,471.3K,4.1K,1.3K
haositofficial,1.2M,1.7M,344.6K,5.6K,936
kdramas_klis,2.8M,368.5K,1.4K,2.3K,
mhc_f_f,1.1M,1.7M,269.9K,1.4K,7K
yurielkysojeda,12.2M,4M,481K,1.3K,667
elsalsely00,4.3M,4.6M,177.2K,612,4K
mayanelsayed,3.5M,4.4M,263.5K,1.2K,2.1K
wasyanka,2.5M,1.7M,124K,1K,16.8K
vidhia_r,4.4M,2.7M,290.6K,3.2K,1.6K
com.yamato0515,1.7M,2M,271K,4.9K,1.9K
kaylamalecc,6.6M,2.2M,363.1K,4.4K,267
munchieslab,2.7M,2.4M,180.5K,796,7.6K
albert_cancook,4M,4.2M,403.4K,1.4K,712
juaniquilador,8.6M,2M,452.2K,1.6K,2.5K
cerenyaldz,9.2M,2.2M,164.5K,8.5K,1.3K
thedannyphantom,80.1K,1.9M,177.1K,7.8K,2.7K
cindylauw,148.6K,2.2M,323.9K,4.5K,439
gehadhassann,7.3M,1.4M,177K,3.5K,10.7K
dudamaryah,4.1M,3M,340.7K,2K,1.4K
the.revival,392.8K,2.2M,283.8K,1.2K,4.4K
gavinmagnus,5.2M,2M,254.9K,6.4K,412
ermmm.umm,2.1K,1.9M,254.5K,2.3K,4.8K
thegerbers_,5.3M,3.7M,375.3K,2.1K,344
hiagodosvideos,1.2M,2.6M,365.4K,2K,1.6K
andweaso,5.9M,3M,542.1K,1.2K,884
luisvelody,6.2M,3.3M,459.9K,910,1.3K
yoshi30244781481,3.9M,4M,409.6K,1.2K,837
the_joe_gatto,6.5M,2.9M,247.7K,1.4K,3.2K
frankielapenna,1.8M,4.9M,411.7K,735,943
.diana__tc,2.9M,3.2M,348.7K,1.9K,1.1K
matsudake,4.7M,8.1M,199.8K,1.2K,833
anokhinalz,35.6M,2.8M,374K,2.8K,379
mranto,8.2M,6.5M,274.7K,1.3K,570
iheartmemphis,12.5M,4.3M,260.2K,2.3K,687
sobrevivente13,4.1M,2.2M,188.3K,1.7K,6.2K
pam_a_cake,4.1M,3.5M,487.4K,1.6K,334
ardkth,1.3M,1.1M,350.4K,2K,6.5K
cemresolmaz,10.2M,2.2M,180.9K,7.2K,976
philipdefranco,1.9M,2.5M,319.2K,2.8K,1.3K
otakoyakisoba,14.1M,2.8M,278.8K,1.8K,2.3K
freeritzyralph,1.4M,1.5M,375.4K,3.3K,2.4K
jhothsa,12.3M,1.7M,224.7K,1.7K,6.7K
icebox,6.2M,3M,277.2K,3.3K,517
tatiana1964_2,31K,1.7M,12.4K,207,151.8K
nmixx_official,1.1M,1.6M,318.5K,4.2K,2.1K
bmbsh7,3.8M,1.8M,289.5K,3.8K,2.3K
jackjos3ph,2.4M,1.4M,246.3K,3.5K,5.7K
bikedasher,2.2M,3.3M,370.4K,2.2K,427
benjikrol,30.3M,2.4M,338.9K,3.4K,488
djmariio,983.8K,2.2M,329.2K,1.3K,3K
reeh__augusto,3.7M,2.1M,371.8K,2.5K,1.6K
